PROGRAM,RECIPIENT_NAME,RECIPIENT_LOCATION_SA2_NAME_2016,RECIPIENT_LOCATION_SA3_NAME_2016,RECIPIENT_LOCATION_SA4_Name_2016,RECIPIENT_LOCATION_GCCSA_NAME_2016,PROJECT_TITLE_OUTLINE,RESEARCHER_FELLOW,SECTOR,PARTNER,APPROVAL_DATE,FUNDING_COMMITTED_EXGST,QLD_SCIENCE_PRIORITY,PROJECT_TIMEFRAME_MONTH,ROUND_NUMBER
PhD Scholarships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Pastures as tools for pest suppression,Miss Rebecca Garrad,"Agriculture, forestry and fisheries",CSIRO,28/01/2016,45000,Enhanced Production Technologies,36,1
PhD Scholarships,James Cook University,Douglas,Townsville,Townsville,Rest of Qld,Microbial indicators for water quality and environmental stress assessment,Miss Bettina Glasl,Great Barrier Reef,Australian Institute of Marine Science,28/01/2016,45000,Protecting Biodiversity,36,1
PhD Scholarships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,'Sense of safety': a new way to see mental health?,Dr Johanna Lynch,Health care and social assistance,Integrate Place | Mental Health Professional Network | Adults Surviving Child Abuse | Mediros | Headspace | Australian Society Psychological Medicine | Royal Australian College of General Practitioners,28/01/2016,45000,Knowledge Intensive Services,36,1
PhD Scholarships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Breathing fire: understanding the meteorology of pyro-convection in bushfires.,Mr Nicholas McCarthy,"Professional, scientific and technical services",Australian Bureau of Meteorology | USDA Forest Service | QLD Fire and Emergency Services | NSW Rural Fire Service | USDA Forest Service Pacific Wildland Fire Sciences Laboratory,28/01/2016,45000,Managing Climate Risk,36,1
PhD Scholarships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Up-scaling the production of novel agricultural enzymes to industrial scale,Mr Alastair Robertson,"Agriculture, forestry and fisheries", Bioproton,28/01/2016,45000,Enhanced Production Technologies,36,1
PhD Scholarships,Queensland University of Technology,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Role of antidepressants in cancer risk and treatment outcomes,Mr Saira Sanjida,Health care and social assistance,Royal Brisbane and Women's Hospital,28/01/2016,45000,Health Data Management,36,1
PhD Scholarships,QIMR Berghofer Medical Research Institute,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Hospital environments and the spread of cough aerosols,Mrs Rebecca Stockwell,Health care and social assistance,Prince Charles Hospital,28/01/2016,45000,Translation of Health,36,1
PhD Scholarships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Development of a 'Smart' heart assist device,Mr Eric Wu,Health care and social assistance, Prince Charles Hospital,28/01/2016,45000,Translation of Health,36,1
Research Fellowships,Griffith University,Salisbury - Nathan,Nathan,Brisbane - South,Greater Brisbane,Cost-effective restoration of wetlands that protect the Great Barrier Reef,Dr (Maria) Fernanda Adame,Great Barrier Reef,Department of Environment and Heritage Protection,28/01/2016,180000,Protecting Biodiversity,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Advancement and Commercialisation of Spinifex Nanocellulose Enhanced Rubber Products,Dr Nasim Amiralian,Health care and social assistance, Derby Rubber | Dugalunji Aboriginal Corporation | Cook Medical,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Easily deconstructed spinifex nanofibres for enhancement of high-performance construction materials ,Dr Pratheep Kumar Annamalai,"agriculture, forestry and fisheries",Department of Transport and Main Road (Qld) | Dugalanji Aboriginal Corporation | AARB Group Ltd,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,James Cook University,Douglas,Townsville,Townsville,Rest of Qld,Identifying sources of fine sediments to protect the GBR,Dr Zoe Bainbridge,Great Barrier Reef,Griffith University | NQ Dry Tropics | TropWater | DSITI | Department of Environment and Heritage Protection,28/01/2016,180000,Protecting Biodiversity,36,1
Research Fellowships,Commonwealth Scientific and Industrial Research Organisation,Fairfield - Dutton Park,Holland Park - Yeronga,Brisbane - South,Greater Brisbane,Satellite Detection of Marine Pollution in the Great Barrier Reef,Dr David Blondeau-Patissier,Great Barrier Reef,DSITI | Australian Maritime Safety Authority (AMSA),28/01/2016,180000,Digital Technologies,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Targeting genome stability in cancer,Dr Emma Bolderson,Health care and social assistance,Princess Alexandra Hospital,28/01/2016,300000,Translation of Health,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Water purification  pipes for irrigation using poor quality water resources,Dr Mariam Darestani,"Agriculture, forestry and fisheries",Kagaku Pty Ltd,28/01/2016,180000,Enhanced Production Technologies ,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Transforming Queensland’s agricultural and petroleum waste products into advanced composites.,Dr Kameron Dunn,"Electricity, gas, water and waste services",Southern Oil Refinery Pty Ltd,10/05/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Novel approach to reduce productivity losses from injuries and illnesses ,Dr Jason Edwards,Health care and social assistance,Workplace Health and Safety Queensland,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Using telemedicine for improving diabetes management in Queensland,Dr Farhad Fatehi,Health care and social assistance,Australian E-Health Research Centre CSIRO,28/01/2016,180000,Health Data Management,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Pushing the boundaries of current numerical geotechnical modelling capabilities,Dr Sergio-Andres Galindo-Torres,"Electricity, gas, water and waste services",Golder Associates,28/01/2016,180000,Digital Technologies,36,1
Research Fellowships,James Cook University,Trinity Beach - Smithfield,Cairns - North,Cairns,Rest of Qld,New therapies for Coeliac Disease: Helminths and their secreted products,Dr Paul Giacomin,Health care and social assistance,The Prince Charles Hospital Foundation,28/01/2016,300000,Translation of Health,36,1
Research Fellowships,University of the Sunshine Coast,Sippy Downs,Buderim,Sunshine Coast,Rest of Qld,A proactive approach for reducing medication errors in Queensland hospitals,Dr Natassia Goode,Health care and social assistance,Sunshine Coast Hospital and Health Service,28/01/2016,180000,Knowledge Intensive Services,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,MICROpropagator - A Plant Propagation Platform Based on Novel Biomolecules,Dr Alice Hayward,"Agriculture, forestry and fisheries",Queensland Department of Agriculture and Fisheries | Millwood Holdings Pty Ltd trading as Delroy Orchards | Primary Growth Pty Ltd trading as Jasper Farms | Anderson Horticulture Pty Ltd,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Energy Positive Domestic Wastewater Treatment,Dr Shihu Hu,"Electricity, gas, water and waste services",Queensland Urban Utilities,28/01/2016,300000,Renewable Energy,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Robotic leg-holding device making keyhole knee-surgery easier and safer,Dr Anjali Jaiprakash,Health care and social assistance,Stryker | Holy Spirit North Side Private Hospital,28/01/2016,180000,Digital Technologies,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Intelligent microwave assisted convective dryer for agricultural products,Dr Azharul Karim,"Agriculture, forestry and fisheries",Agirdry,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Establishing therapeutic links between early dopamine function and schizophrenia,Dr James Kesby,Health care and social assistance,Queensland Centre for Mental Health Research,28/01/2016,300000,Knowledge Intensive Services,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Sustainable production of ethanol fuel from waste-gas,Dr Muxina Konarova,"Electricity, gas, water and waste services",Australian Petroleum International Exploration and Development (APIED),28/01/2016,180000,Renewable Energy,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Engineering nanohybrid platforms  for oral vaccination combined with animal feed,Dr Li Li,"Agriculture, forestry and fisheries",JL Dingle Pty Ltd | Huon Aquaculture Company Pty Ltd,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Compact terahertz laser imaging system for early skin cancer detection,Dr Yah Leng Lim,Health care and social assistance,Micreo Ltd,28/01/2016,300000,Translation of Health,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Comercial scale production of N-Sorptive Superabsorbent Biopolymers for Sugarcane Fertilizers,Dr Paul Luckman,"Agriculture, forestry and fisheries",The Manildra Group,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,University of Southern Queensland,Rangeville,Toowoomba,Toowoomba,Rest of Qld,Process improvement of energy and value extraction from agro-industrial waste,Assoc Prof Bernadette McCabe,"Electricity, gas, water and waste services","Oakey Beef Exports, NH Foods Australia | Meat & Livestock Australia | Churchill Abattoir | Wiley",28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,QIMR Berghofer Medical Research Institute,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Development of novel immunotherapeutics for cancer treatment,Assoc Prof John Miles,Health care and social assistance,QIMR Berghofer Medical Research Institute | Bristol-Myers Squibb,28/01/2016,300000,Translation of Health,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Maximising renewable energy penetration through smart inverter deployment and control,Dr Yateendra Mishra,Renewable energy,Stratcom Solutions Pty Ltd,28/01/2016,300000,Renewable Energy,36,1
Research Fellowships,QIMR Berghofer Medical Research Institute,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Psychiatric symptoms after deep brain stimulation for Parkinson's disease,Dr Philip Mosley,Health care and social assistance,Medtronic | St Andrew's War Memorial Hospital,28/01/2016,180000,Translation of Health,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Managing the detrimental effects of indospicine through rumen metabolism,Dr Gabriele Netzel,"Agriculture, forestry and fisheries",Department of Agriculture and Fisheries,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,"Maximising GBR resilience by integrating physiology, evolutionary biology, and macroecology",Dr Juan Ortiz,Great Barrier Reef,Great Barrier Reef Foundation | Department of Environment and Heritage Protection,28/01/2016,180000,Protecting Biodiversity,36,1
Research Fellowships,University of Southern Queensland,Rangeville,Toowoomba,Toowoomba,Rest of Qld,Functional foods for healthy ageing of a growing elderly population,Dr Sunil Panchal,Health care and social assistance,Nature Pacific Pty Ltd | Nutrafruit Pty Ltd | Manitoba Agri-Health Research Network | Food Development Centre,28/01/2016,180000,Translation of Health,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Unlocking Queensland's bauxite ore reserves through process technology innovation,Dr Hong Peng,Mining and resources,Rio Tinto Aluminium Ltd,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,QIMR Berghofer Medical Research Institute,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Development of a vaccine for chikungunya virus,Dr Natalie Prow,Health care and social assistance,Sementis,28/01/2016,300000,Translation of Health,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Development of a luminescence-based sensor for the detection of explosives,Dr Paul Shaw,"Professional, scientific and technical services",Arborescent Pty Ltd,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Upscaling and developing on-site cyanide plant for gold/base metal mines,Dr Pradeep Shukla,Mining and resources,Synergen Met Pty Ltd,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Deep Learning for Large Scale Logo Identification and Semantic Search,Dr Sabesan Sivapalan,Information media and telecommunications,See-out Pty Ltd (trading name: TrademarkVision),28/01/2016,180000,Knowledge Intensive Services,36,1
Research Fellowships,James Cook University,Douglas,Townsville,Townsville,Rest of Qld,A smartphone-based decision support tool to stimulate cyclone mitigation,Dr Daniel Smith,"Professional, scientific and technical services",Suncorp Group Limited | University of Florida,28/01/2016,180000,Managing Climate Risk,36,1
Research Fellowships,Griffith University,,Southport,Gold Coast,Rest of Qld,"Development of cost effective, large-scale nearshore nourishment for Queensland beaches",Dr Darrell Strauss,Arts and recreational services, City of Gold Coast,28/01/2016,300000,Managing Climate Risk,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Reconfigurable mm-wave antenna systems for satellite communications,Dr Yifan Wang,Information media and telecommunications,EM Solutions,28/01/2016,180000,Enhanced Production Technologies,36,1
Research Fellowships,Griffith University,Salisbury - Nathan,Nathan,Brisbane - South,Greater Brisbane,Making Solar Better: Advanced Electronics for Distributed Energy Storage,Dr Wayne Water,Renewable energy,Elevare Energy Pty Ltd,28/01/2016,180000,Renewable Energy,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Transforming Queensland Health Care via Digital Pathology,Dr Arnold Wiliem,Health care and social assistance,Sullivan Nicolaides Pathology,28/01/2016,180000,Health Data Management,36,1
Research Fellowships,Central Queensland University,Norman Gardens,Rockhampton,Central Queensland,Rest of Qld,Early Detection of Crop Stresses in Tropical Protected Cropping Systems,Dr Chengyuan Xu,"Agriculture, forestry and fisheries",Queensland Department of Agriculture and Fisheries | Perfection Fresh Australia Pty Ltd,28/01/2016,300000,Enhanced Production Technologies,36,1
Research Fellowships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Nano-pollen encapsulated lysozyme: a safe alternative to antibiotics for livestock,Dr Meihua Yu,"Agriculture, forestry and fisheries",Ridley Corporation,28/01/2016,180000,Enhanced Production Technologies,36,1
Startup Events & Activities Fund,Bundaberg Enterprise Centre Association Inc.,Bundaberg,Bundaberg,Wide Bay,Rest of Qld,Deliver a program of network and skill development events and mentoring for high potential businesses,,Entrepreuneurialism,Bundaberg Regional Council,08/07/2016,15310,,14,2
Startup Events & Activities Fund,Cairns Innovation Hub Pty Ltd,Manunda,Cairns - South,Cairns,Rest of Qld,Startup & Innovation Weekend series 2016,,Entrepreneurialism ,TAFE | Cairns Regional Council | James Cook University,29/03/2016,15000,,7,1
Startup Events & Activities Fund,Canvas Coworking Inc.,Toowoomba - Central,Toowoomba,Toowoomba,Rest of Qld,"To provide access to events and workshops for the local community to attend, which will assist them in developing their skills.",,Entrepreneurialism ,Toowoomba Chamber of Commerce | USQ | TAFE | Startup Toowoomba,23/12/2015,20000,,6,1
Startup Events & Activities Fund,Christine McDougall trading as Syzergy,Bundall,Surfers Paradise,Gold Coast,Rest of Qld,Deliver the Big Blue Sky Festival of Innovation and Creativity,,Entrepreneurialism ,Gold Coast City Council,02/11/2015,25000,,0.07,1
Startup Events & Activities Fund,Commex Holdings Pty Ltd,Coolum Beach,Maroochy,Sunshine Coast,Rest of Qld,Deliver a series of events to improve the capability of social entrepreneurs in South East Queensland.,,Social Enterprise,QLD Social Enterprise Council | Brisbane Grammar School,22/03/2016,3750,,3,1
Startup Events & Activities Fund,EPI Capital Pty Ltd,Fortitude Valley,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Tanda Hackathon 2016.,,Entrepreneurialism,TechnologyOne | Queensland University of Technology | Indoor Skydive Australia,12/04/2016,3000,,0.07,1
Startup Events & Activities Fund,Gold Coast Techspace Inc,Robina,Robina,Gold Coast,Rest of Qld,Series of meetups and training for the Hackerspace/Makerspace/IoT movement.,,Entrepreneurialism,IT Forum Gold Coast|Wearable World,08/10/2015,15625,,5,1
Startup Events & Activities Fund,Gold Coast Techspace Inc,Robina,Robina,Gold Coast,Rest of Qld,Deliver a series of community collaboration events,,Entrepreneurialism,Accelerati,05/08/2016,16000,,12,3
Startup Events & Activities Fund,Innovation NQ Inc.,Townsville City - North Ward,Townsville,Townsville,Rest of Qld,Innovation NQ Launch and Innovation Breakfast,,Entrepreneurialism,James Cook University|Tec-NQ,05/08/2016,8998,,0.04,3
Startup Events & Activities Fund,James Cook University,Douglas,Townsville,Townsville,Rest of Qld,Deliver Festival of Ideas event in November 2016,,Entrepreuneurialism,Townsville City Council,08/07/2016,25000,,0.04,2
Startup Events & Activities Fund,Next Media Group Pty Ltd,Wilston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Deliver FinTech Brisbane Startup Weekend in July 2016,,Entrepreuneurialism,Suncorp|FinTech Australia|Yodlee,08/07/2016,3665,,0.11,2
Startup Events & Activities Fund,Performance People Pty Ltd,Frenchville - Mount Archer,Rockhampton,Central Queensland,Rest of Qld,Deliver Startup Capricorn Annual Events,,Entrepreneurialism,Rockhampton Regional Council|Livingstone Regional Council|Central Queensland University|Capricornia Chamber of Commerce|Beylyando Entreprise Network Inc|Entrepreneurs Capricorn Toastmasters|AusIndustry,06/10/2016,18350,,15,2
Startup Events & Activities Fund,Queensland Chinese Association of Scientists and Engineers,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Deliver the first inaugural Australia-China Science, Technology, Commercialisation and Innovation Forum, which will bring together more than 200 government officials, senior executives, experts and scholars and feature a series of keynote speeches and presentations covering critical issues of importance to both Australian and China.",,Entrepreneurialism,"Department of Science, Information Technology and Innovation|The Consulate General of the People's Republic of China in Brisbane|CSIRO|Griffith University|Huawei Australia Pty Ltd",22/10/2016,25000,,0.14,2
Startup Events & Activities Fund,QUT Creative Enterprise Australia,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Creative3 Pitch 2016- Connecting creative tech startups with EU investors,,Creative Industries,Pitcher Partners and numerous others,22/03/2016,25000,,10,1
Startup Events & Activities Fund,Redeye Apps Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Deliver Redeye Future Work of Conference in August 2016,,Entrepreneurialism,N/A,05/08/2016,20000,,0.04,3
Startup Events & Activities Fund,Regional Development Australia Brisbane Incorporated,Greenslopes,Holland Park - Yeronga,Brisbane - South,Greater Brisbane,Provision of exhibitor booths for 15 high-growth potential digital/ICT startups at the 2016 CLICK! Digital Expo,,Entrepreneurialism,Career Employment Australia|Lup (Expo News)|News Corporation|Red Beans Production|Brisbane Marketing|Yantra Consulting ,26/09/2016,24950,,0.04,2
Startup Events & Activities Fund,Regional Development Australia Brisbane Incorporated,Greenslopes,Holland Park - Yeronga,Brisbane - South,Greater Brisbane,Deliver ‘Entrepreneur Section’ at the CLICK! Digital Expo 2015,,Regional Development,CEA|Brisbane Marketing and others,20/10/2015,25000,,0.04,1
Startup Events & Activities Fund,Regional Development Australia Logan and Redlands Incorporated,Beenleigh,Beenleigh,Logan - Beaudesert,Greater Brisbane,Series of Business Case Bootcamps,,Regional Development,Logan Office of Economic Development | Department of State Development | Griffith University,29/03/2016,12000,,3,1
Startup Events & Activities Fund,Regional Development Australia Moreton Bay Inc,Nundah,Nundah,Brisbane - North,Greater Brisbane,"Deliver a program aiming to raise awareness of the opportunity of entrepreneurship, innovation and self-employment",,Entrepreuneurialism,Edgeware Creative Entrepreneurship,08/07/2016,23000,,15,2
Startup Events & Activities Fund,River City Labs Pty Ltd,Fortitude Valley,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Deliver Global Startup Weekend Brisbane where participants will learn how to create a real company, meet River City Labs' best mentors, investors, potential co-founders and corporate sponsors",,Entrepreneurialism,Global Startup Weekend|Blue Sky Funds|McCullough Robertson|Morgans Stockbroking|Suncorp,22/10/2016,11475,,0.11,2
Startup Events & Activities Fund,River City Labs Pty Ltd,Fortitude Valley,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Deliver River City Labs Accelerator program powered by muru-D,,Entrepreneurialism ,Telstra and some 20 other organisations,08/10/2015,25000,,3,1
Startup Events & Activities Fund,Startup Mackay Inc.,Mount Pleasant - Glenella,Mackay,Mackay - Isaac - Whitsunday,Rest of Qld,Deliver Startup Weekend in November 2016,,Entrepreneurialism,Mackay Regional Council,03/08/2016,8145,,0.11,2
Startup Events & Activities Fund,Startup Toowoomba Pty Ltd,Toowoomba - Central,Toowoomba,Toowoomba,Rest of Qld,Series of events and activities to build the Toowoomba/Darling Downs startup ecosystem.,,Entrepreneurialism ,Startup Weekend Australia | Canvas Coworking Inc | TechStarts Community Events,14/04/2016,22350,,8,1
Startup Events & Activities Fund,StartUp Townsville,Douglas,Townsville,Townsville,Rest of Qld,Deliver Startup Weekend in September 2016,,Entrepreuneurialism,Townsville City Council|James Cook University,08/07/2016,12825,,3,2
Startup Events & Activities Fund,Tablelands Futures Corporation Limited,Mareeba,Tablelands (East) - Kuranda,Cairns,Rest of Qld,Developing the entrepreneurial mindset and skillset throughout the Atherton Tablelands,,Entrepreuneurialism,TheSPACE Cairns|Tablelands Regional Council|Mareeba Shire Council|Joint-Chambers across the Atherton Tablelands,08/07/2016,25000,,6,2
Startup Events & Activities Fund,The Trustee for Big Blue Sky Trust,Bundall,Surfers Paradise,Gold Coast,Rest of Qld,"Deliver an annual event to bring entrepreneurs, citizens, students, universities, creatives, startups, local and state governments together a Moonshots chosen to address issues that the community face.",,Entrepreneurialism,Gold Coast City Council|Griffith University|Regional Development Australia|Bartercard|Study Gold Coast|FSG|Silicon Beach,26/09/2016,25000,,0.07,2
Startup Events & Activities Fund,The Trustee for Kinbombi Family Trust,Nudgee - Banyo,Nundah,Brisbane - North,Greater Brisbane,"Three half day workshops for startup managers, followed by networking",,Entrepreneurialism ,Iniative Capital,24/12/2015,6335,,3,1
Startup Events & Activities Fund,The Trustee for The One Group Unit Trust,Molendinar,Southport,Gold Coast,Rest of Qld,Deliver EcoPreneur Startup Weekend designed to bring Queensland's best sustainable startups together to access startup support and investment and drive positive environment change for the future,,Entrepreneurialism,QLD Social Enterprise Council|Little Tokyo Two|Eco Bling|Sphera Change Makers|Eco My Home|wandering Cooks|Corporate Social Energy|Youth Food Movement,26/09/2016,6686,,3,2
Startup Events & Activities Fund,The World Incubator,Charters Towers,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld,"""The World Incubator""—Establish an Incubator in Charters Towers to deliver 12 week business development programs for locals in Charters Towers.",,Entrepreneurialism ,Marketing Eye | Charters Towers Regional Council,22/02/2016,24000,,10,1
Startup Events & Activities Fund,Townsville City Council,Townsville City - North Ward,Townsville,Townsville,Rest of Qld,Townsville Creative Industries - Entrepreneur Mentoring Program.,,Local Government,Together Townsville,12/04/2016,24400,,3,1
Startup Events & Activities Fund,Umi Arts Limited,,Cairns - North,Cairns,Rest of Qld,"""You Me in Cultural Business""—Developing entrepreneurial skills for Aboriginal and Torres Strait Islander people within Custural Businesses.",,Arts and recreational services,Cairns Regional Council | Tourism Tropical North QLD | Careers Training Institute of Australia,23/12/2015,25000,,5,1
Startup Events & Activities Fund,Uniquest Pty Limited,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Startup Weekend for Health,,Entrepreneurialism ,Cook Medical | Translational Research Institute | UniQuest,03/03/2016,3000,,0.11,1
Startup Events & Activities Fund,University of Southern Queensland,Springfield,Springfield - Redbank,Ipswich,Greater Brisbane,Online edication modules and workshops to assist startups and small businesses utilise Big Data for growth,,University,Ipswich City Council,29/03/2016,12750,,8,1
Startup Events & Activities Fund,University of Southern Queensland,Springfield,Springfield - Redbank,Ipswich,Greater Brisbane,Series of capacity building sessions online and on campus for migrant and refugee women startups,,University,Multicultural Development Association | Toowoomba Regional Council,29/03/2016,16050,,8,1
Startup Events & Activities Fund,Wavebreak International Limited,Worongary - Tallai,Nerang,Gold Coast,Rest of Qld,Pilot programme for accredited entrepreneur training in several Gold Coast high schools.,,Entrepreneurialism ,Coomera Training College,05/11/2015,13450,,7,1
Startup Events & Activities Fund,Wesley Mission Queensland,Chermside,Chermside,Brisbane - North,Greater Brisbane,Provide new opportunities for up to 30 women from low socio economic backgs to participate in small business incubator workshops and ongoing support in Brisbane and Logan,,Entrepreneurialism,Global Sisters,26/09/2016,15325,,8,2
Young Starters Fund,Agapeflows Pty Ltd,Central Highlands - East,Central Highlands (Qld),Central Queensland,Rest of Qld,Academy for Young Entrepreneurs startup workshops project is aimed to empowering secondary and senior primary students in entrepreneurial pathways.,,Entrepreneurialism,,03/08/2016,9500,,3,2
Young Starters Fund,Canvas Coworking Inc,Toowoomba - Central,Toowoomba,Toowoomba,Rest of Qld,"Founderfest 2016 – a Startup Weekend for Youth in Toowoomba where teams will group into areas of interests and strengths in the areas of sales, business, technology and design.",,Entrepreneurialism,Startup Toowoomba Pty Ltd|Your Footprints,01/04/2016,20000,,0.11,1
Young Starters Fund,Fifty Six Creations Pty Ltd,Mount Gravatt,Mt Gravatt,Brisbane - South,Greater Brisbane,"To interact and work with approximately 200 Aboriginal and Torres Strait Islander children in Mackay, Bowen and surrounds to introduce them to STEM and computer technology. Participants will be gifted 100 Fifty-Six computer tablets and Planet 56 software to undertake the activities in collaboration with Little Tokyo2 and the Foundation for Young Australians.",,Entrepreneurialism,Little Tokyo Two|Foundation for Young Australians,18/02/2016,19500,,0.18,1
Young Starters Fund,Fifty Six Creations Pty Ltd,Mackay,Mackay,Mackay - Isaac - Whitsunday,Rest of Qld,"To interact and work with approximately 200 Aboriginal and Torres Strait Islander children in Mackay, Bowen and surrounds to introduce them to STEM and computer technology. Participants will be gifted 100 Fifty-Six computer tablets and Planet 56 software to undertake the activities in collaboration with Little Tokyo2 and the Foundation for Young Australians.",,Entrepreneurialism,Little Tokyo Two|Foundation for Young Australians|State Library of Queensland,21/06/2016,20000,,0.07,1
Young Starters Fund,FSG Australia,,Southport,Gold Coast,Rest of Qld,"Intro to Start-Up Accelerators for Senior School Students—this education program provides interactive one and a half day workshops for Year 10-12 Gold Coast High School students in the classroom, to simulate the experience of participating in a ‘startup accelerator program’.",,Entrepreneurialism,Gold Coast City Council,03/08/2016,17356,,2,2
Young Starters Fund,Generation Innovation Ltd,,Buderim,Sunshine Coast,Rest of Qld,"A startup bootcamp – GI Challenge 2016 supports young entrepreneurs to both create and cultivate a business venture in the real economy. The program comprises two one-day workshops two weeks apart, followed by a development phase where teams and mentors develop their ideas to a ‘pitchable’ product.",,Entrepreneurialism,Chambers of Commerce and Industry for Noosa|Maroochydore|Kawana|Caloundra|Coolum Business & Tourism Association|Nambour Alliance Inc|United Synergies|Integrated Family Youth Services,20/03/2016,16450,,4,1
Young Starters Fund,Griffith University,,Southport,Gold Coast,Rest of Qld,Mentor Revolution – Get Started to create and deliver online webinars and a networking forum to inspire young startups through sharing stories of other young entrepreneurs who have achieved success.,,Entrepreneurialism,Griffith University|University of Queensland|Me Media,21/06/2016,20000,,5,1
